"","data","networth","weight"
"452","DINA",141579440.6,54.62769
"453","DINA",141408435.4,53.34808
"454","DINA",141335091.6,53.3694
"455","DINA",141073025.4,54.78764
"456","DINA",140761870.2,53.62534
"457","DINA",140402196.8,53.56136
"458","DINA",140122811.4,52.69762
"459","DINA",139930882.8,56.49374
"460","DINA",139825052.8,53.83858
"461","DINA",139633681.8,53.67865
"462","DINA",139391670,54.38242
"463","DINA",139065272.2,53.61467
"464","DINA",138865043.6,54.62769
"465","DINA",138575771.2,53.78529
"466","DINA",138247115.2,53.48671
"467","DINA",137944520,53.84925
"468","DINA",137708896.8,53.54002
"469","DINA",137574822.2,54.62769
"470","DINA",137365744.6,54.32911
"471","DINA",137115255,54.40376
"472","DINA",136768560.4,54.74498
"473","DINA",136615054.6,52.55899
"474","DINA",136483050.6,54.9156
"475","DINA",136326413.8,53.97722
"476","DINA",135914774.8,51.79124
"477","DINA",135559924.6,56.5897
"478","DINA",135272110.8,52.97488
"479","DINA",134999112.4,53.8386
"480","DINA",134592103.2,53.10283
"481","DINA",134454583.4,53.32676
"482","DINA",134335602,53.48671
"483","DINA",134180397,53.26278
"484","DINA",133829904.8,54.7343
"485","DINA",133637950.2,52.70828
"486","DINA",133261285.4,53.48671
"487","DINA",133020026,53.92392
"488","DINA",132780141,53.9559
"489","DINA",132407239,53.1988
"490","DINA",132218018,53.83861
"491","DINA",132092679.2,55.17151
"492","DINA",131913066,53.56136
"493","DINA",131711401.4,53.90256
"494","DINA",131524756.4,54.40376
"495","DINA",131262757.2,53.84925
"496","DINA",130989564.2,53.07085
"497","DINA",130801528,53.8386
"498","DINA",130567102,53.73195
"499","DINA",130410420.8,54.32911
"500","DINA",130201876.2,53.3481
"501","DINA",130032721.4,54.4464
"502","DINA",129850481.2,53.62534
"503","DINA",129721626.6,52.9642
"504","DINA",129558661.6,53.73195
"505","DINA",129338509.6,53.48671
"506","DINA",129212212.6,53.69997
"507","DINA",129075080.2,54.38242
"508","DINA",128839863.2,54.09451
"509","DINA",128580551.4,54.10518
"510","DINA",128425250,54.06253
"511","DINA",128320412,54.10516
"512","DINA",128052465,53.48671
"513","DINA",127903226.6,52.85757
"514","DINA",127744662.4,53.94526
"515","DINA",127429090.4,53.78529
"516","DINA",127224224.6,54.70234
